"","Dyad_ID","Group_name","Season","Group_size","Sex","Breeding_status","Age_class","Playing","Allopreening","Proximal foraging","Scrounging","Dominance display","Allofeeding"
"224","57805898","HVR","Winter",10,"Female-Female","Helper-Helper","Adult-Yearling",0,2,27,0,0,1
"225","57805942","HVR","Winter",10,"Male-Female","Helper-Helper","Adult-Young",2,1,30,4,0,1
"226","57805943","HVR","Winter",10,"Male-Female","Helper-Helper","Adult-Young",2,5,20,2,0,4
"227","57805979","HVR","Winter",10,"Male-Female","Helper-Helper","Adult-Young",2,4,18,2,2,1
"228","58985942","HVR","Winter",10,"Male-Female","Helper-Helper","Yearling-Young",1,2,30,5,1,1
"229","58985943","HVR","Winter",10,"Male-Female","Helper-Helper","Yearling-Young",1,4,20,0,0,1
"230","58985979","HVR","Winter",10,"Male-Female","Helper-Helper","Yearling-Young",1,6,25,0,1,2
"231","59425943","HVR","Winter",10,"Male-Male","Helper-Helper","Young-Young",3,4,19,6,6,1
"232","59425979","HVR","Winter",10,"Male-Male","Helper-Helper","Young-Young",2,1,23,4,3,0
"233","59435979","HVR","Winter",10,"Male-Male","Helper-Helper","Young-Young",4,5,20,1,1,0
"234","56665720","KOT","Winter",9,"Male-Female","Parent-Parent","Adult-Adult",0,3,32,0,14,5
"235","56665985","KOT","Winter",9,"Male-Male","Parent-Helper","Adult-Adult",0,9,23,0,3,0
"236","56666151","KOT","Winter",9,"Male-Female","Parent-Helper","Adult-Young",0,0,30,2,0,0
"237","56666152","KOT","Winter",9,"Male-Male","Parent-Helper","Adult-Young",0,3,33,3,1,0
"238","56666153","KOT","Winter",9,"Male-Male","Parent-Helper","Adult-Young",0,4,27,0,1,0
"239","56666251","KOT","Winter",9,"Male-Male","Parent-Helper","Adult-Fledgling",0,1,26,1,0,0
"240","56666252","KOT","Winter",9,"Male-Female","Parent-Helper","Adult-Fledgling",0,0,28,0,0,0
"241","56666253","KOT","Winter",9,"Male-Male","Parent-Helper","Adult-Fledgling",0,2,29,6,3,0
"242","57205985","KOT","Winter",9,"Male-Female","Parent-Helper","Adult-Adult",0,3,65,4,0,0
"243","57206151","KOT","Winter",9,"Female-Female","Parent-Helper","Adult-Young",0,0,65,4,1,0
"244","57206152","KOT","Winter",9,"Male-Female","Parent-Helper","Adult-Young",0,9,66,7,0,2
"245","57206153","KOT","Winter",9,"Male-Female","Parent-Helper","Adult-Young",0,5,64,1,0,0
"246","57206251","KOT","Winter",9,"Male-Female","Parent-Helper","Adult-Fledgling",0,2,52,4,0,2
"247","57206252","KOT","Winter",9,"Female-Female","Parent-Helper","Adult-Fledgling",0,10,84,14,0,2
"248","57206253","KOT","Winter",9,"Male-Female","Parent-Helper","Adult-Fledgling",0,1,74,9,0,0
"249","59856151","KOT","Winter",9,"Male-Female","Helper-Helper","Adult-Young",5,6,71,3,4,0
"250","59856152","KOT","Winter",9,"Male-Male","Helper-Helper","Adult-Young",5,5,79,5,5,1
"251","59856153","KOT","Winter",9,"Male-Male","Helper-Helper","Adult-Young",3,3,88,4,3,1
"252","59856251","KOT","Winter",9,"Male-Male","Helper-Helper","Adult-Fledgling",3,0,61,4,3,0
"253","59856252","KOT","Winter",9,"Male-Female","Helper-Helper","Adult-Fledgling",3,4,84,9,1,3
"254","59856253","KOT","Winter",9,"Male-Male","Helper-Helper","Adult-Fledgling",3,0,81,10,0,0
"255","61516152","KOT","Winter",9,"Male-Female","Helper-Helper","Young-Young",6,3,85,4,4,0
"256","61516153","KOT","Winter",9,"Male-Female","Helper-Helper","Young-Young",7,2,96,4,6,0
"257","61516251","KOT","Winter",9,"Male-Female","Helper-Helper","Young-Fledgling",7,1,72,4,4,1
"258","61516252","KOT","Winter",9,"Female-Female","Helper-Helper","Young-Fledgling",6,4,90,6,0,3
"259","61516253","KOT","Winter",9,"Male-Female","Helper-Helper","Young-Fledgling",6,5,86,5,0,1
"260","61526153","KOT","Winter",9,"Male-Male","Helper-Helper","Young-Young",6,3,103,1,0,0
"261","61526251","KOT","Winter",9,"Male-Male","Helper-Helper","Young-Fledgling",7,0,66,1,1,0
"262","61526252","KOT","Winter",9,"Male-Female","Helper-Helper","Young-Fledgling",6,5,84,0,0,2
"263","61526253","KOT","Winter",9,"Male-Male","Helper-Helper","Young-Fledgling",10,4,89,4,2,0
"264","61536251","KOT","Winter",9,"Male-Male","Helper-Helper","Young-Fledgling",8,1,84,1,0,0
"265","61536252","KOT","Winter",9,"Male-Female","Helper-Helper","Young-Fledgling",6,6,94,0,2,1
"266","61536253","KOT","Winter",9,"Male-Male","Helper-Helper","Young-Fledgling",7,2,92,4,4,0
"267","62516252","KOT","Winter",9,"Male-Female","Helper-Helper","Fledgling-Fledgling",6,0,74,4,4,0
"268","62516253","KOT","Winter",9,"Male-Male","Helper-Helper","Fledgling-Fledgling",5,1,76,3,4,0
"269","62526253","KOT","Winter",9,"Male-Female","Helper-Helper","Fledgling-Fledgling",7,2,97,10,1,0
"270","56665720","KOT","Winter",6,"Male-Female","Parent-Parent","Adult-Adult",0,0,14,1,3,0
"271","56666151","KOT","Winter",6,"Male-Female","Parent-Helper","Adult-Young",0,0,15,3,1,0
"272","56666152","KOT","Winter",6,"Male-Male","Parent-Helper","Adult-Young",0,0,14,1,0,0
"273","56666251","KOT","Winter",6,"Male-Male","Parent-Helper","Adult-Fledgling",0,0,11,3,2,0
"274","56666252","KOT","Winter",6,"Male-Female","Parent-Helper","Adult-Fledgling",0,0,15,0,0,0
"275","57206151","KOT","Winter",6,"Female-Female","Parent-Helper","Adult-Young",0,0,23,3,0,0
"276","57206152","KOT","Winter",6,"Male-Female","Parent-Helper","Adult-Young",0,4,29,2,1,0
"277","57206251","KOT","Winter",6,"Male-Female","Parent-Helper","Adult-Fledgling",0,2,30,5,0,1
"278","57206252","KOT","Winter",6,"Female-Female","Parent-Helper","Adult-Fledgling",0,1,25,1,0,0
"279","61516152","KOT","Winter",6,"Male-Female","Helper-Helper","Young-Young",1,2,42,0,0,0
"280","61516251","KOT","Winter",6,"Male-Female","Helper-Helper","Young-Fledgling",1,1,34,2,0,0
"281","61516252","KOT","Winter",6,"Female-Female","Helper-Helper","Young-Fledgling",0,2,34,2,0,0
"282","61526251","KOT","Winter",6,"Male-Male","Helper-Helper","Young-Fledgling",0,2,37,1,0,1
"283","61526252","KOT","Winter",6,"Male-Female","Helper-Helper","Young-Fledgling",1,2,30,2,0,0
"284","62516252","KOT","Winter",6,"Male-Female","Helper-Helper","Fledgling-Fledgling",0,1,26,2,0,2
"285","54345278","NIS","Autumn",11,"Male-Female","Parent-Parent","Adult-Adult",0,5,19,0,0,0
"286","54345816","NIS","Autumn",11,"Male-Male","Parent-Helper","Adult-Adult",0,9,17,0,0,0
"287","54345818","NIS","Autumn",11,"Male-Male","Parent-Helper","Adult-Adult",0,16,23,8,8,0
"288","54345831","NIS","Autumn",11,"Male-Male","Parent-Helper","Adult-Adult",0,7,25,2,0,0
"289","54345974","NIS","Autumn",11,"Male-Female","Parent-Helper","Adult-Yearling",0,3,13,0,1,0
"290","54346010","NIS","Autumn",11,"Male-Male","Parent-Helper","Adult-Young",0,5,25,8,8,0
"291","54346009","NIS","Autumn",11,"Male-Male","Parent-Helper","Adult-Young",0,3,27,6,5,0
"292","54346082","NIS","Autumn",11,"Male-Male","Parent-Helper","Adult-Fledgling",0,1,27,3,2,0
"293","54346086","NIS","Autumn",11,"Male-Female","Parent-Helper","Adult-Fledgling",0,3,16,1,1,0
"294","54346083","NIS","Autumn",11,"Male-Female","Parent-Helper","Adult-Fledgling",0,2,20,0,0,1
"295","52785816","NIS","Autumn",11,"Male-Female","Parent-Helper","Adult-Adult",0,4,18,1,0,0
"296","52785818","NIS","Autumn",11,"Male-Female","Parent-Helper","Adult-Adult",0,11,23,0,0,0
"297","52785831","NIS","Autumn",11,"Male-Female","Parent-Helper","Adult-Adult",0,8,16,0,0,0
"298","52785974","NIS","Autumn",11,"Female-Female","Parent-Helper","Adult-Yearling",0,5,9,1,0,0
"299","52786010","NIS","Autumn",11,"Male-Female","Parent-Helper","Adult-Young",0,5,16,3,0,0
"300","52786009","NIS","Autumn",11,"Male-Female","Parent-Helper","Adult-Young",0,9,20,0,0,0
"301","52786082","NIS","Autumn",11,"Male-Female","Parent-Helper","Adult-Fledgling",0,3,23,2,0,0
"302","52786086","NIS","Autumn",11,"Female-Female","Parent-Helper","Adult-Fledgling",0,6,17,1,0,1
"303","52786083","NIS","Autumn",11,"Female-Female","Parent-Helper","Adult-Fledgling",0,3,32,1,0,0
"304","58165818","NIS","Autumn",11,"Male-Male","Helper-Helper","Adult-Adult",2,16,19,5,1,1
"305","58165831","NIS","Autumn",11,"Male-Male","Helper-Helper","Adult-Adult",2,11,22,2,1,0
"306","58165974","NIS","Autumn",11,"Male-Female","Helper-Helper","Adult-Yearling",4,3,13,0,0,0
"307","58166010","NIS","Autumn",11,"Male-Male","Helper-Helper","Adult-Young",3,9,26,9,4,1
"308","58166009","NIS","Autumn",11,"Male-Male","Helper-Helper","Adult-Young",5,7,27,4,0,0
"309","58166082","NIS","Autumn",11,"Male-Male","Helper-Helper","Adult-Fledgling",3,6,22,2,0,0
"310","58166086","NIS","Autumn",11,"Male-Female","Helper-Helper","Adult-Fledgling",4,5,27,4,0,0
"311","58166083","NIS","Autumn",11,"Male-Female","Helper-Helper","Adult-Fledgling",3,3,21,2,1,1
"312","58185831","NIS","Autumn",11,"Male-Male","Helper-Helper","Adult-Adult",2,21,27,2,0,0
"313","58185974","NIS","Autumn",11,"Male-Female","Helper-Helper","Adult-Yearling",3,6,22,0,0,0
"314","58186010","NIS","Autumn",11,"Male-Male","Helper-Helper","Adult-Young",9,7,28,5,1,0
"315","58186009","NIS","Autumn",11,"Male-Male","Helper-Helper","Adult-Young",8,8,37,5,0,0
"316","58186082","NIS","Autumn",11,"Male-Male","Helper-Helper","Adult-Fledgling",3,4,27,8,0,0
"317","58186086","NIS","Autumn",11,"Male-Female","Helper-Helper","Adult-Fledgling",3,4,22,1,0,1
"318","58186083","NIS","Autumn",11,"Male-Female","Helper-Helper","Adult-Fledgling",3,2,24,3,0,0
"319","58315974","NIS","Autumn",11,"Male-Female","Helper-Helper","Adult-Yearling",6,13,29,0,2,2
"320","58316010","NIS","Autumn",11,"Male-Male","Helper-Helper","Adult-Young",7,16,39,4,1,0
"321","58316009","NIS","Autumn",11,"Male-Male","Helper-Helper","Adult-Young",7,11,37,2,0,0
"322","58316082","NIS","Autumn",11,"Male-Male","Helper-Helper","Adult-Fledgling",7,13,34,0,3,1
"323","58316086","NIS","Autumn",11,"Male-Female","Helper-Helper","Adult-Fledgling",7,7,26,3,0,0
"324","58316083","NIS","Autumn",11,"Male-Female","Helper-Helper","Adult-Fledgling",6,4,24,1,1,0
"325","59746010","NIS","Autumn",11,"Male-Female","Helper-Helper","Yearling-Young",11,15,30,4,1,0
"326","59746009","NIS","Autumn",11,"Male-Female","Helper-Helper","Yearling-Young",18,11,35,2,0,0
"327","59746082","NIS","Autumn",11,"Male-Female","Helper-Helper","Yearling-Fledgling",15,6,29,1,0,1
"328","59746086","NIS","Autumn",11,"Female-Female","Helper-Helper","Yearling-Fledgling",13,5,22,2,0,4
"329","59746083","NIS","Autumn",11,"Female-Female","Helper-Helper","Yearling-Fledgling",13,7,30,0,0,0
"330","60106009","NIS","Autumn",11,"Male-Male","Helper-Helper","Young-Young",25,14,54,6,3,0
"331","60106082","NIS","Autumn",11,"Male-Male","Helper-Helper","Young-Fledgling",12,7,39,2,1,1
"332","60106086","NIS","Autumn",11,"Male-Female","Helper-Helper","Young-Fledgling",17,6,33,4,5,0
"333","60106083","NIS","Autumn",11,"Male-Female","Helper-Helper","Young-Fledgling",10,5,31,0,2,0
