id,sex,weight,svl
BGS-1379,M,25,36.1
BGS-1380,F,14.5,28.5
BGS-1381,M,10.4,25.8
BGS-1382,F,76.5,44.65
BGS-1383,M,14.8,28.9
BGS-1384,F,52.5,39.5
BGS-1385,F,62.025,40.375
BGS-1386,M,26.6,33.925
BGS-1387,F,44.7,37.6
BGS-1388,F,55.7,41.6
BGS-1389,F,52.1,36.9
BGS-139,M,29.83333333,36.43333333
BGS-1390,F,62.6,41
BGS-1391,F,20,32
BGS-1392,M,21.5,31.8
BGS-1393,F,60,40.5
BGS-1394,F,61.14,43.65
BGS-1395,M,12.2,28
BGS-1396,M,19.3,32.25
BGS-1397,F,10,25.7
BGS-1398,F,40,42.5
BGS-1399,M,22.8,34.5
BGS-14,F,50.16666667,38.7
BGS-1400,F,41.025,37.4
BGS-1401,F,23.3,32.1
BGS-1402,M,34.3,39.3
BGS-1403,F,22,31
BGS-1404,F,44.35,34.4
BGS-1405,F,27,36.5
BGS-1406,M,25.4,35.75
BGS-1407,M,35,38
BGS-1408,M,24.2,34
BGS-1409,M,4.6,18.7
BGS-1410,M,4.1,19.2
BGS-1411,F,30.3,38.3
BGS-1412,F,5.1,19.4
BGS-1413,F,7.08,23.1
BGS-1414,F,29.5,38.3
BGS-1415,F,33,38.5
BGS-1416,M,6.4,20.4
BGS-1417,F,56,41.3
BGS-1418,M,17.2,29.36666667
BGS-1419,M,26.1,34.7
BGS-1420,F,53.5,39
BGS-1421,M,20,32
BGS-1422,F,36.4,36.13333333
BGS-1423,M,5.9,17.6
BGS-1424,F,4,17.8
BGS-1425,M,3.6,17.3
BGS-1426,M,4.4,17.5
BGS-1427,F,6.15,21.1
BGS-1428,M,8.25,23.15
BGS-1429,M,21.6,32.5
BGS-1430,F,7,21.1
BGS-1431,M,28.2,36
BGS-1432,M,20,32.5
BGS-1433,M,6,20.3
BGS-1434,F,14.13333333,26.26666667
BGS-1435,F,24.75,35
BGS-1436,F,4.8,19.5
BGS-1437,F,8.4,23.9
BGS-1438,F,29,36.2
BGS-1439,M,7.6,20.8
BGS-1440,F,22.16666667,33
BGS-1441,F,9.45,25.4
BGS-1442,M,15.3,28.55
BGS-1443,F,7.6,21.3
BGS-1444,F,6.5,21.3
BGS-1445,F,32.5,38.5
BGS-1446,M,19.75,33.36
BGS-1447,F,27,33.5
BGS-1448,M,11.55,25.5
BGS-1449,M,17.5,31
BGS-1450,F,30,37.9
BGS-1451,M,17,33.5
BGS-1452,M,23.1,32.25
BGS-1453,F,6.9,22
BGS-1454,F,7.8,23
BGS-1455,F,12.3,24.5
BGS-1457,F,6.6,22
BGS-1458,F,34.5,39.4
BGS-1459,M,19.5,33.8
BGS-1460,M,17,31.8
BGS-1461,M,19,33.4
BGS-1462,M,19.5,34.6
BGS-1463,F,14.4,28.55
BGS-1464,M,23.5,37.8
BGS-1465,M,21,33.5
BGS-1466,M,25.16,33.4
BGS-1467,F,6,19.5
BGS-1468,M,6.1,21.6
BGS-1469,F,7.8,22.9
BGS-1470,F,8,24.2
BGS-1471,M,7.8,23.5
BGS-1472,F,23.5,33
BGS-1473,F,8.2,21.4
BGS-1474,F,6,20.2
BGS-1475,F,8.75,22.9
BGS-1476,F,11.1,23.8
BGS-1477,M,31.76666667,36.13333333
BGS-1478,F,52.125,39.3
BGS-1479,F,46.15,40.3
BGS-1481,F,36,37
BGS-1482,F,32,35.85
BGS-1483,M,16.5,32.6
BGS-1484,M,8.7,23.15
BGS-1485,M,16.1,32.5
BGS-1486,M,9.9,25
BGS-1487,M,8.7,23
BGS-1488,M,16.3,32
BGS-1489,M,23.78,36
BGS-1490,F,10.5,26.2
BGS-1491,M,19.75,33.4
BGS-1492,F,39.16666667,36.73333333
BGS-1493,F,27,31
BGS-1494,F,62.5,43.5
BGS-1495,M,11.1,26.4
BGS-1496,F,7.5,20.8
BGS-1497,F,34.16666667,36.83333333
BGS-1498,F,49.99090909,38.88
BGS-1499,F,7.3,21.8
BGS-15,F,36,37.8
BGS-1500,F,16.5,28
BGS-1501,M,15.5,28.8
BGS-1502,M,8.5,22.5
BGS-1503,F,10.5,24.4
BGS-1504,F,26.5,29.3
BGS-1505,M,8.9,22.15
BGS-1506,F,7.25,19.95
BGS-1507,F,6,18.2
BGS-1508,F,10,22
BGS-1509,M,31.625,36.175
BGS-1510,F,7.6,21.6
BGS-1511,F,45.25,40.1
BGS-1512,M,18,33.8
BGS-1513,F,8.7,23.3
BGS-1514,M,20.83333333,32.36666667
BGS-1515,M,8.7,24
BGS-1516,F,8.3,24
BGS-1517,F,38,37.3
BGS-1518,F,10.75,25.1
BGS-1519,F,37,39.2
BGS-1520,M,12,26.2
BGS-1521,F,7.2,22.2
BGS-1522,F,7.2,24
BGS-1523,M,14.4,30.4
BGS-1524,F,6.4,22.8
BGS-1525,F,8.6,24.2
BGS-1526,M,8.1,22.6
BGS-1527,F,38.75,37
BGS-1528,F,8.5,23
BGS-1529,F,9.9,23.25
BGS-1530,M,21.5,33.5
BGS-1531,M,16.5,31
BGS-1532,F,60.8,39.2
BGS-1533,F,61.5,44.6
BGS-1534,F,16.3,29
