focal,partner,simple_ratio,focal.sex,partner.sex,focal.age,partner.age
nina,coco,0,female,female,10.36550308,28.58042437
noel,coco,0.166666667,female,female,36.58042437,28.58042437
pan,coco,0,male,female,24.58042437,28.58042437
pippa,coco,0,female,female,24.58042437,28.58042437
taylor,coco,0,female,female,8.873374401,28.58042437
tess,coco,0,female,female,15.58110883,28.58042437
trixie,coco,0,female,female,23.58110883,28.58042437
violet,coco,0,female,female,22.58179329,28.58042437
zsabu,coco,0,male,female,23.58110883,28.58042437
darwin,daisy,0,male,female,6.581793292,8.788501027
debbie,daisy,0,female,female,11.6386037,8.788501027
diana,daisy,0.333333333,female,female,22.58179329,8.788501027
dolly,daisy,0,female,female,16.75838467,8.788501027
donna,daisy,0,female,female,29.58247775,8.788501027
dora,daisy,0,female,female,24.58042437,8.788501027
doug,daisy,0,male,female,10.53251198,8.788501027
littlejane,daisy,0,female,female,28.58042437,8.788501027
littlejenkins,daisy,0,female,female,6.579055441,8.788501027
littlejudy,daisy,0,female,female,18.58179329,8.788501027
maggie,daisy,0,female,female,27.58110883,8.788501027
mary,daisy,0,female,female,7.906913073,8.788501027
masya,daisy,0,female,female,22.58179329,8.788501027
mike,daisy,0,male,female,15.58110883,8.788501027
moyo,daisy,0,male,female,5.963039014,8.788501027
nina,daisy,0,female,female,10.36550308,8.788501027
noel,daisy,0,female,female,36.58042437,8.788501027
pan,daisy,0,male,female,24.58042437,8.788501027
pippa,daisy,0,female,female,24.58042437,8.788501027
taylor,daisy,0,female,female,8.873374401,8.788501027
tess,daisy,0,female,female,15.58110883,8.788501027
trixie,daisy,0,female,female,23.58110883,8.788501027
violet,daisy,0,female,female,22.58179329,8.788501027
zsabu,daisy,0,male,female,23.58110883,8.788501027
debbie,darwin,0,female,male,11.6386037,6.581793292
diana,darwin,0,female,male,22.58179329,6.581793292
dolly,darwin,0,female,male,16.75838467,6.581793292
donna,darwin,0,female,male,29.58247775,6.581793292
dora,darwin,0.333333333,female,male,24.58042437,6.581793292
doug,darwin,0,male,male,10.53251198,6.581793292
littlejane,darwin,0,female,male,28.58042437,6.581793292
littlejenkins,darwin,0,female,male,6.579055441,6.581793292
littlejudy,darwin,0,female,male,18.58179329,6.581793292
maggie,darwin,0,female,male,27.58110883,6.581793292
mary,darwin,0,female,male,7.906913073,6.581793292
masya,darwin,0,female,male,22.58179329,6.581793292
mike,darwin,0,male,male,15.58110883,6.581793292
moyo,darwin,0,male,male,5.963039014,6.581793292
nina,darwin,0.2,female,male,10.36550308,6.581793292
noel,darwin,0,female,male,36.58042437,6.581793292
pan,darwin,0,male,male,24.58042437,6.581793292
pippa,darwin,0,female,male,24.58042437,6.581793292
taylor,darwin,0,female,male,8.873374401,6.581793292
tess,darwin,0,female,male,15.58110883,6.581793292
trixie,darwin,0,female,male,23.58110883,6.581793292
violet,darwin,0,female,male,22.58179329,6.581793292
zsabu,darwin,0,male,male,23.58110883,6.581793292
diana,debbie,0,female,female,22.58179329,11.6386037
dolly,debbie,0,female,female,16.75838467,11.6386037
donna,debbie,1,female,female,29.58247775,11.6386037
dora,debbie,0,female,female,24.58042437,11.6386037
doug,debbie,0,male,female,10.53251198,11.6386037
littlejane,debbie,0,female,female,28.58042437,11.6386037
littlejenkins,debbie,0,female,female,6.579055441,11.6386037
