focal,partner,simple_ratio,focal.sex,partner.sex,focal.age,partner.age
pan,daisy,0.073170732,male,female,24.58042437,8.788501027
pippa,daisy,0.119047619,female,female,24.58042437,8.788501027
taylor,daisy,0.048780488,female,female,8.873374401,8.788501027
tess,daisy,0.05,female,female,15.58110883,8.788501027
tilly,daisy,0,female,female,12.5174538,8.788501027
toni,daisy,0.075,female,female,10.58179329,8.788501027
trixie,daisy,0.026315789,female,female,23.58110883,8.788501027
violet,daisy,0.069767442,female,female,22.58179329,8.788501027
vis,daisy,0.093023256,male,female,9.32238193,8.788501027
zsabu,daisy,0.119047619,male,female,23.58110883,8.788501027
david,darwin,0.048780488,male,male,11.88501027,6.581793292
debbie,darwin,0.146341463,female,male,11.6386037,6.581793292
diana,darwin,0.047619048,female,male,22.58179329,6.581793292
diz,darwin,0.186046512,female,male,5.804243669,6.581793292
dolly,darwin,0.2,female,male,16.75838467,6.581793292
donna,darwin,0.195121951,female,male,29.58247775,6.581793292
dora,darwin,0.333333333,female,male,24.58042437,6.581793292
doug,darwin,0.214285714,male,male,10.53251198,6.581793292
littlejane,darwin,0.179487179,female,male,28.58042437,6.581793292
littlejenkins,darwin,0.097560976,female,male,6.579055441,6.581793292
littlejudy,darwin,0.12195122,female,male,18.58179329,6.581793292
longjohn,darwin,0.139534884,male,male,7.58110883,6.581793292
maggie,darwin,0.05,female,male,27.58110883,6.581793292
mary,darwin,0.073170732,female,male,7.906913073,6.581793292
masya,darwin,0.097560976,female,male,22.58179329,6.581793292
max,darwin,0.1,male,male,6.924024641,6.581793292
maxine,darwin,0.048780488,female,male,12.20260096,6.581793292
mike,darwin,0.11627907,male,male,15.58110883,6.581793292
misha,darwin,0.15,female,male,25.58247775,6.581793292
moyo,darwin,0.25,male,male,5.963039014,6.581793292
nikkie,darwin,0.139534884,female,male,15.69336071,6.581793292
nina,darwin,0.19047619,female,male,10.36550308,6.581793292
noel,darwin,0.186046512,female,male,36.58042437,6.581793292
pan,darwin,0.170731707,male,male,24.58042437,6.581793292
pippa,darwin,0.142857143,female,male,24.58042437,6.581793292
taylor,darwin,0.097560976,female,male,8.873374401,6.581793292
tess,darwin,0.225,female,male,15.58110883,6.581793292
tilly,darwin,0.097560976,female,male,12.5174538,6.581793292
toni,darwin,0.1,female,male,10.58179329,6.581793292
